NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Conway town,Massachusetts,1897,1897,1898,1909,1904
Deerfield town,Massachusetts,5125,5122,5117,5127,5119
Erving town,Massachusetts,1800,1800,1799,1805,1802
Gill town,Massachusetts,1500,1500,1499,1503,1502
Greenfield Town city,Massachusetts,17456,17456,17420,17586,17553
Greenfield Town city,Massachusetts,17456,17456,17420,17586,17553
Hawley town,Massachusetts,337,337,337,337,337
Heath town,Massachusetts,706,706,706,707,706
Leverett town,Massachusetts,1851,1854,1855,1868,1867
Leyden town,Massachusetts,711,711,713,720,722
Monroe town,Massachusetts,121,121,121,121,121
Montague town,Massachusetts,8437,8437,8426,8444,8420
New Salem town,Massachusetts,990,990,989,996,1002
Northfield town,Massachusetts,3032,3032,3030,3039,3034
Orange town,Massachusetts,7839,7839,7830,7846,7821
Rowe town,Massachusetts,393,393,393,395,394
Shelburne town,Massachusetts,1893,1893,1892,1894,1898
Shutesbury town,Massachusetts,1771,1771,1770,1782,1777
Sunderland town,Massachusetts,3684,3684,3681,3698,3699
Warwick town,Massachusetts,780,780,780,781,779
Wendell town,Massachusetts,848,848,849,861,866
Whately town,Massachusetts,1496,1496,1495,1500,1506
Hampden County,Massachusetts,463490,463490,464005,465603,465923
Agawam Town city,Massachusetts,28438,28438,28455,28573,28608
Chicopee city,Massachusetts,55298,55298,55262,55518,55490
Holyoke city,Massachusetts,39880,39880,39897,40143,40135
Palmer Town city,Massachusetts,12140,12140,12142,12154,12152
Springfield city,Massachusetts,153060,153060,153451,153581,153552
Westfield city,Massachusetts,41094,41094,41119,41380,41399
West Springfield Town city,Massachusetts,28391,28391,28355,28537,28574
Balance of Hampden County,Massachusetts,105189,105189,105324,105717,106013
Agawam Town city,Massachusetts,28438,28438,28455,28573,28608
Agawam Town city,Massachusetts,28438,28438,28455,28573,28608
Blandford town,Massachusetts,1233,1233,1234,1238,1240
Brimfield town,Massachusetts,3609,3609,3616,3624,3660
Chester town,Massachusetts,1337,1337,1338,1347,1351
Chicopee city,Massachusetts,55298,55298,55262,55518,55490
Chicopee city,Massachusetts,55298,55298,55262,55518,55490
East Longmeadow town,Massachusetts,15720,15720,15747,15833,15896
Granville town,Massachusetts,1566,1566,1572,1592,1605
Hampden town,Massachusetts,5139,5139,5142,5155,5156
Holland town,Massachusetts,2481,2481,2483,2486,2487
Holyoke city,Massachusetts,39880,39880,39897,40143,40135
Holyoke city,Massachusetts,39880,39880,39897,40143,40135
Longmeadow town,Massachusetts,15784,15784,15809,15843,15835
Ludlow town,Massachusetts,21103,21103,21137,21176,21195
Monson town,Massachusetts,8560,8560,8568,8590,8679
Montgomery town,Massachusetts,838,838,841,851,858
Palmer Town city,Massachusetts,12140,12140,12142,12154,12152
Palmer Town city,Massachusetts,12140,12140,12142,12154,12152
Russell town,Massachusetts,1775,1775,1779,1790,1788
Southwick town,Massachusetts,9502,9502,9508,9548,9575
Springfield city,Massachusetts,153060,153060,153451,153581,153552
Springfield city,Massachusetts,153060,153060,153451,153581,153552
Tolland town,Massachusetts,485,485,485,487,487
Wales town,Massachusetts,1838,1838,1841,1856,1864
Westfield city,Massachusetts,41094,41094,41119,41380,41399
Westfield city,Massachusetts,41094,41094,41119,41380,41399
West Springfield Town city,Massachusetts,28391,28391,28355,28537,28574
West Springfield Town city,Massachusetts,28391,28391,28355,28537,28574
Wilbraham town,Massachusetts,14219,14219,14224,14301,14337
Hampshire County,Massachusetts,158080,158080,159188,159743,159795
Easthampton Town city,Massachusetts,16053,16053,16037,16024,16007
Northampton city,Massachusetts,28549,28549,28624,28614,28592
Balance of Hampshire County,Massachusetts,113478,113478,114527,115105,115196
Amherst town,Massachusetts,37819,37819,38685,38991,39016
Belchertown town,Massachusetts,14649,14649,14645,14708,14719
Chesterfield town,Massachusetts,1222,1222,1225,1232,1235
Cummington town,Massachusetts,872,872,871,870,870
Easthampton Town city,Massachusetts,16053,16053,16037,16024,16007
Easthampton Town city,Massachusetts,16053,16053,16037,16024,16007
Goshen town,Massachusetts,1054,1054,1053,1056,1056
Granby town,Massachusetts,6240,6240,6236,6256,6282
